HS Code,Description,Possible Vendor Matches,Semantic Vendor Matches,All Vendor Matches
33059090,"PREPARATIONS FOR USE ON THE HAIR, NESOI",3305900000,"3305900000, 3304995000","3305900000, 3304995000"
34013011,"ORGANIC SURFACE ACTIVE PRODUCTS AND PREPS FOR WASHING SKIN, FORM OF LIQUID OR CREAM, FOR RETAIL SALE, WHETHER OR NOT CONTAINING SOAP",3401305000,"3401305000, 3401115000, 1404909090","3401305000, 3401115000, 1404909090"
39269099,"ARTICLES OF PLASTICS, NESOI","3926909989, 3926909985",3926909989,"3926909989, 3926909985"
42022220,"HANDBAGS, WHETHER OR NOT WITH SHOULDER STRAP OR HANDLES, WITH OUTER SURFACE OF PLASTIC SHEETING OR OF TEXTILE MATERIALS","4202923131, 4202922000, 4202929336, 4202921500","4202929336, 4202921500","4202923131, 4202922000, 4202929336, 4202921500"
42029215,"CONTAINER BAGS, BOXES, CASES AND SATCHELS NESOI, WITH OUTER SURFACE OF SHEETING OF PLASTICS OR OF TEXTILE MATERIALS","4202923131, 4202922000, 4202929336, 4202921500","4202929336, 4202921500","4202923131, 4202922000, 4202929336, 4202921500"
48182000,"HANDKERCHIEFS, CLEANSING OR FACIAL TISSUES AND TOWELS, OF PAPER PULP, PAPER, CELLULOSE WADDING OR WEBS OF CELLULOSE FIBERS",4818100000,"6307909882, 4818100000, 4819400040","4818100000, 6307909882, 4819400040"
61091000,"T-SHIRTS, SINGLETS, TANK TOPS AND SIMILAR GARMENTS OF COTTON, KNITTED OR CROCHETED",6109100004,"6206303045, 6205202067","6109100004, 6206303045, 6205202067"
61171030,"SHAWLS, SCARVES, MUFFLERS, MANTILLAS, VEILS AND THE LIKE, KNITTED OR CROCHETED",6117104000,"6214900010, 6117104000","6117104000, 6214900010"
62114210,"WOMEN'S OR GIRLS' GARMENTS NESOI, OF COTTON, NOT KNITTED OR CROCHETED",6211421092,"6211421092, 6204628066, 6204628018","6211421092, 6204628066, 6204628018"
63079012,"MADE-UP TEXTILE ARTICLES, NESOI",6307909882,"4202929336, 3926909985","6307909882, 4202929336, 3926909985"
71131910,"JEWELRY AND PARTS THEREOF, OF PRECIOUS METAL OTHER THAN SILVER","7113195090, 7113192900","7115904000, 7117199000, 7113195090","7113195090, 7113192900, 7115904000, 7117199000"
71171990,"IMITATION JEWELRY NESOI, OF BASE METAL, WHETHER OR NOT PLATED WITH PRECIOUS METAL",7117199000,"7117199000, 8205517500","7117199000, 8205517500"
71179010,IMITATION JEWELRY NESOI (NOT OF BASE METAL),7117903000,"7117199000, 8205517500","7117903000, 7117199000, 8205517500"
74199930,Code not found,,,
74199940,Code not found,,,
74199990,Code not found,,,
7418100002,"POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, BRASS","7418100025, 7418100053","4820102020, 7323930045, 7418100025","7418100025, 7418100053, 4820102020, 7323930045"
9810002500,"ALTARS, PULPITS, COMMUNION TABLES, SHRINES ETC IMPORTED FOR USE OF AN INSTITUTION ORGANIZED AND OPERATED FOR RELIGIOUS PURPOSES",9810002500,9810002500,9810002500
9103000,Code not found,910300000,,910300000
830629,"STAUETTES AND OTHER ORNAMENTS, AND PARTS THEREOF, OF BASE METAL NOT PLATED WITH PRECIOUS METAL",,"8205517500, 7117199000","8205517500, 7117199000"
7326200050,"ARTICLES OF IRON OR STEEL WIRE, NESOI",7326200090,"7326200090, 7326908688, 7323999080","7326200090, 7326908688, 7323999080"
71331,Code not found,,,
71333,Code not found,,,
6307909891,"MADE UP TEXTILE ARTICLES, NESOI",6307909882,"4202929336, 3926909985","6307909882, 4202929336, 3926909985"
74198,Code not found,,,
711719,"IMITATION JEWELRY NESOI, OF BASE METAL, WHETHER OR NOT PLATED WITH PRECIOUS METAL",7117199000,"7117199000, 8205517500","7117199000, 8205517500"
7418100025,"BRASS TABLE AND HOUSEHOLD ARTICLES AND PARTS THEREOF, NESOI","7418100025, 7418100053",7418100025,"7418100025, 7418100053"
8306290000,"STAUETTES AND OTHER ORNAMENTS, AND PARTS THEREOF, OF BASE METAL NOT PLATED WITH PRECIOUS METAL",,"8205517500, 7117199000","8205517500, 7117199000"
8306290000,"STAUETTES AND OTHER ORNAMENTS, AND PARTS THEREOF, OF BASE METAL NOT PLATED WITH PRECIOUS METAL",,"8205517500, 7117199000","8205517500, 7117199000"
9405504000,NON-ELECTRIC LAMPS AND LIGHTING FITTINGS EXCEPT OF BRASS,9405504000,"9405504000, 9405114010, 9405214010","9405504000, 9405114010, 9405214010"
3926400000,"STATUETTES & OTHER ORNAMENTAL ARTICLES,OF PLASTIC","3926909989, 3926909985","3926909989, 3926909985, 4202923131","3926909989, 3926909985, 4202923131"
44029,Code not found,,,
